,brand,segment,month_end,AUC
95,NEO,3. thin_prime,2024-05-31,0.0
96,NEO,3. thin_prime,2023-12-31,0.31871056449708157
97,NEO,3. thin_prime,2023-11-30,0.25896061597811837
98,NEO,3. thin_prime,2023-10-31,0.3502672360540382
99,NEO,3. thin_prime,2024-03-31,0.0
100,NEO,3. thin_prime,2024-01-31,0.38398984425598015
101,NEO,3. thin_prime,2024-06-30,0.0
102,NEO,3. thin_prime,2024-02-29,0.2505305602716468
103,NEO,3. thin_prime,2024-04-30,0.0
104,NEO,3. thin_prime,2024-07-31,0.0
105,NEO,3. thin_prime,2020-04-30,0.0
106,NEO,2x. subprime,2020-02-29,0.0
107,NEO,2x. subprime,2020-03-31,0.0
108,NEO,2x. subprime,2020-06-30,0.0
109,NEO,2x. subprime,2020-07-31,0.0
110,NEO,2x. subprime,2020-08-31,-0.25
111,NEO,2x. subprime,2020-09-30,0.2250000000000001
112,NEO,2x. subprime,2020-10-31,0.37142857142857144
113,NEO,2x. subprime,2020-11-30,0.5710227272727273
114,NEO,2x. subprime,2020-12-31,0.8666666666666667
115,NEO,2x. subprime,2021-01-31,0.3099173553719008
116,NEO,2x. subprime,2021-02-28,0.3666666666666667
117,NEO,2x. subprime,2021-03-31,0.3698113207547169
118,NEO,2x. subprime,2021-04-30,0.657142857142857
119,NEO,2x. subprime,2021-05-31,0.4743178170144462
120,NEO,2x. subprime,2021-09-30,0.3331645569620254
121,NEO,2x. subprime,2021-07-31,0.30501997568177863
122,NEO,2x. subprime,2021-06-30,0.5785714285714285
123,NEO,2x. subprime,2021-10-31,0.4247997790665561
124,NEO,2x. subprime,2021-11-30,0.3342175066312998
125,NEO,2x. subprime,2021-08-31,0.2904
126,NEO,2x. subprime,2021-12-31,0.41671592775041044
127,NEO,2x. subprime,2022-01-31,0.3810937264174674
128,NEO,2x. subprime,2022-02-28,0.39568925772245267
129,NEO,2x. subprime,2022-03-31,0.27692224430755896
130,NEO,2x. subprime,2022-05-31,0.3098150839793281
131,NEO,2x. subprime,2022-04-30,0.2584730906328523
132,NEO,2x. subprime,2022-06-30,0.24523913997367264
133,NEO,2x. subprime,2022-07-31,0.456233198924731
134,NEO,2x. subprime,2022-08-31,0.3728982300884953
135,NEO,2x. subprime,2022-09-30,0.2932282243473767
136,NEO,2x. subprime,2022-10-31,0.0
137,NEO,2x. subprime,2022-11-30,0.0
