,Tree,Node,ID,Feature,Split,Yes,No,Missing,Gain,Cover,Category
1767,7,184,7-184,Leaf,,,,,-0.0679434836,129.774673,
1768,7,185,7-185,Leaf,,,,,-0.0112169962,213.344559,
1769,7,186,7-186,Leaf,,,,,-0.0424129628,805.325195,
1770,7,187,7-187,Leaf,,,,,0.0530907512,46.8837776,
1771,7,188,7-188,Leaf,,,,,-0.00206404342,58.0865326,
1772,7,189,7-189,Leaf,,,,,-0.120153986,295.565796,
1773,7,190,7-190,Leaf,,,,,-0.0865759254,21.0379677,
1774,7,191,7-191,Leaf,,,,,-0.128108367,5472.79688,
1775,7,192,7-192,Leaf,,,,,-0.0577948764,4.71158504,
1776,7,193,7-193,Leaf,,,,,-0.119535103,664.466553,
1777,7,194,7-194,Leaf,,,,,-0.0991479158,49.99049,
1778,7,195,7-195,Leaf,,,,,-0.118163668,137.927811,
1779,7,196,7-196,Leaf,,,,,-0.0433817804,4.63051796,
1780,7,197,7-197,Leaf,,,,,-0.0123907914,32.6581802,
1781,7,198,7-198,Leaf,,,,,-0.0943239853,309.908508,
1782,7,199,7-199,Leaf,,,,,-0.119833067,2721.02246,
1783,7,200,7-200,Leaf,,,,,-0.0603296533,19.1265392,
1784,7,201,7-201,Leaf,,,,,-0.108124368,795.698914,
1785,7,202,7-202,Leaf,,,,,-0.00532313948,3.02377987,
1786,7,203,7-203,Leaf,,,,,-0.130519688,33987.0039,
1787,7,204,7-204,Leaf,,,,,-0.0664142966,3.95805979,
1788,7,205,7-205,Leaf,,,,,-0.00087434327,3.01487088,
1789,7,206,7-206,Leaf,,,,,-0.127007768,1761.76367,
1790,7,207,7-207,Leaf,,,,,-0.124731362,4969.99121,
1791,7,208,7-208,Leaf,,,,,-0.102734342,97.6871567,
1792,7,209,7-209,Leaf,,,,,-0.124216735,1859.50623,
1793,7,210,7-210,Leaf,,,,,-0.130338833,10655.6875,
1794,7,211,7-211,Leaf,,,,,-0.11534629,172.059082,
1795,7,212,7-212,Leaf,,,,,-0.0842620954,177.675064,
1796,7,213,7-213,Leaf,,,,,-0.123436205,675.362061,
1797,7,214,7-214,Leaf,,,,,-0.0775758252,38.2333374,
1798,7,215,7-215,Leaf,,,,,-0.0930884629,375.518707,
1799,7,216,7-216,Leaf,,,,,-0.0478643477,50.0672035,
1800,7,217,7-217,Leaf,,,,,-0.128457099,579.883667,
1801,7,218,7-218,Leaf,,,,,-0.0521994606,4.04531384,
1802,7,219,7-219,Leaf,,,,,-0.118876159,1325.88843,
1803,7,220,7-220,Leaf,,,,,-0.104206584,2476.27246,
1804,7,221,7-221,Leaf,,,,,-0.126951456,2185.91699,
1805,7,222,7-222,Leaf,,,,,-0.0323161706,3.15259004,
1806,7,223,7-223,Leaf,,,,,-0.0204439666,6.88016033,
1807,7,224,7-224,Leaf,,,,,-0.116337396,319.734497,
1808,7,225,7-225,Leaf,,,,,-0.0899345204,32.5863419,
1809,7,226,7-226,Leaf,,,,,0.0159865264,3.59887123,
1810,7,227,7-227,Leaf,,,,,-0.0625734851,74.3219986,
1811,7,228,7-228,Leaf,,,,,0.0186666958,28.6340199,
1812,7,229,7-229,Leaf,,,,,-0.131837755,24.8511524,
1813,7,230,7-230,Leaf,,,,,-0.0888663158,22.7541962,
1814,7,231,7-231,Leaf,,,,,-0.0483906902,44.6061516,
1815,7,232,7-232,Leaf,,,,,0.0140908463,55.1271858,
1816,7,235,7-235,Leaf,,,,,-0.0686011761,293.294006,
1817,7,236,7-236,Leaf,,,,,-0.0965350792,378.282959,
1818,7,237,7-237,Leaf,,,,,-0.0798211172,57.686451,
